,synopsis,cluster
"(0,)",.@HillaryClinton channels John Kerry on trade: she was for bad trade deals before she was against them. #TPP #Debates2016,0
"(0,)",.@HillaryClinton and Obama policies increased debt by $9trillion over the last 8 years,0
"(12,)",RT @TeamTrump: A @realDonaldTrump Administration will bring JOBS BACK! #Debates2016 https://t.co/4O3rIyycyW,12
"(2,)","Why isn't Hillary Clinton 50 points ahead?
#DebateNight https://t.co/iux7icIkaT",2
"(12,)",RT @DanScavino: Join @realDonaldTrump on his official social media platforms during tonight's debate ~ as @TeamTrump manages rapid response…,12
"(0,)","My team of deplorables will be managing my Twitter account for this evenings debate. Tune in!
#DebateNight #TrumpPence16",0
"(12,)","RT @KellyannePolls: #Polls showing @realDonaldTrump surging, @hillaryclinton #slipping, have HER camp on defense/lowering expectations, goi…",12
"(5,)","New national Bloomberg poll just released - thank you! Join the MOVEMENT: https://t.co/3KWOl2ibaW. 
#TrumpTrain… https://t.co/xDGCwYVK0Q",5
"(0,)","Really sad news: The great Arnold Palmer, the ""King,"" has died. There was no-one like him - a true champion! He will be truly missed.",0
"(8,)",Five people killed in Washington State by a Middle Eastern immigrant. Many people died this weekend in Ohio from drug overdoses. N.C. riots!,8
"(5,)","Readout of my meeting with Israeli Prime Minister Benjamin Netanyahu:
https://t.co/VHuyE65hgi https://t.co/6KDPrQxSED",5
"(4,)",Looking forward to my meeting with Benjamin Netanyahu in Trump Tower at 10:00 A.M.,4
"(0,)",Bernie Sanders gave Hillary the Dem nomination when he gave up on the e-mails. That issue has only gotten bigger!,0
"(2,)","Many on the team and staff of Bernie Sanders have been treated badly by the Hillary Clinton campaign - and they like Trump on trade, a lot!",2
"(5,)","Thank you Roanoke, Virginia - this a MOVEMENT - join us today!
Sign up: https://t.co/NQEgRxQN2m
#AmericaFirst… https://t.co/Rz3DkpBQJu",5
"(0,)","If dopey Mark Cuban of failed Benefactor fame wants to sit in the front row, perhaps I will put Gennifer Flowers right alongside of him!",0
"(5,)",Will be back in Virginia tonight- for a 6pm rally at the Berglund Center in Roanoke. Join me! Tickets:… https://t.co/6pQMSgPWuN,5
"(4,)","""@KellyannePolls: Trump is headed for a win, says professor who has predicted 30 years of presidential outcomes   https://t.co/68WEMcuHSO""",4
"(0,)",The @SenTedCruz endorsement was a wonderful surprise. I greatly appreciate his support! We will have a tremendous victory on November 8th.,0
"(0,)",Today is the day! Knock on doors and make calls with us on National Day of Action! #TrumpTrain #MAGA… https://t.co/4iW06ROvsT,0
"(2,)","Crooked Hillary's bad judgement forced her to announce that she would go to Charlotte on Saturday to grandstand. Dem pols said no way, dumb!",2
"(5,)","Join me in Roanoke, Virginia tomorrow at the Berglund Center- Coliseum ~ 6pm! Tickets available at:… https://t.co/bnEE6NX41Z",5
"(4,)","'How Trump Would Stimulate the U.S. Economy'
https://t.co/jU3HHglnIu",4
"(2,)","Hillary Clinton just lost every Republican she ever had, including Never Trump, all farmers &amp; sm. biz, by saying she’ll tax estates at 65%.",2
"(0,)",Tomorrow's the day! Knock on doors and make calls with us on National Day of Action! #TrumpTrain #MAGA… https://t.co/05NY0wJHkL,0
"(4,)",RT @dcexaminer: EXCLUSIVE: How Donald Trump's 30 million followers are crashing the Internet https://t.co/hV2z4yrTU7 https://t.co/lWkjmdyQ7Q,4
"(0,)",Spoke with Governor @PatMcCroryNC of North Carolina today. He is doing a tremendous job under tough circumstances.,0
"(6,)","This is more than a campaign- it is a movement. #MakeAmericaGreatAgain
SIGN UP TODAY &amp; WE WILL WIN! https://t.co/2XBs5SSRC3",6
"(5,)","Join me in Roanoke, Virginia on Saturday evening at 6pm! #MAGA
https://t.co/uKG55Pznwu",5
"(0,)",Will be on @foxandfriends now.,0
"(13,)","I will be interviewed from Cleveland, Ohio, on @seanhannity - Tonight at 10:00 P.M. Enjoy!",13
"(3,)","""@ThAllenSBoucher: @DiamondandSilk @realDonaldTrump @seanhannity I love those beautiful gals."" D + S = Two amazing women!",3
"(1,)",.@YoungDems4Trump  Thank you!,1
"(6,)","Great new polls! Thank you Nevada, North Carolina &amp; Ohio. Join the MOVEMENT today &amp; lets #MAGA!… https://t.co/Y8Sb8MNyXA",6
"(7,)","Thank you Toledo, Ohio! It is so important for you to get out and VOTE on November 8, 2016! Lets MAKE AMERICA SAFE… https://t.co/MQdp4GgLIE",7
"(12,)","RT @GMA: WATCH: @IvankaTrump on ""women who work;"" empowering campaign celebrates modern women.  https://t.co/rMFe9o6WcL",12
"(6,)","Hopefully the violence &amp; unrest in Charlotte will come to an immediate end. To those injured, get well soon. We need unity &amp; leadership.",6
"(7,)",The situations in Tulsa and Charlotte are tragic. We must come together to make America safe again.,7
"(7,)","It is a MOVEMENT - not a campaign. Leaving the past behind, changing our future. Together, we will MAKE AMERICA SAF… https://t.co/Lt2L3NKzyi",7
"(1,)","Thank you Kenansville, North Carolina! Remember- on November 8th, that special interest gravy train is coming to a… https://t.co/AysJRMzvKw",1
"(6,)","Thank you High Point, NC! I will fight for every neglected part of this nation &amp; I will fight to bring us together… https://t.co/DSaUpSptBz",6
"(2,)","Hillary Clinton is taking the day off again, she needs the rest. Sleep well Hillary - see you at the debate!",2
"(0,)",Heading to North Carolina for two big rallies. Will be there soon. We will bring jobs back where they belong!,0
"(8,)",Do people notice Hillary is copying my airplane rallies - she puts the plane behind her like I have been doing from the beginning.,8
"(1,)","Thank you Nevada! #AmericaFirst
#MakeAmericaGreatAgain 
https://t.co/3KWOl2ibaW https://t.co/RJqHgq2Rn0",1
"(1,)","Thank you Georgia! #AmericaFirst
#MakeAmericaGreatAgain 
https://t.co/3KWOl2ibaW https://t.co/y01qpON7h7",1
"(2,)","Crooked Hillary has been fighting ISIS, or whatever she has been doing, for years. Now she has new ideas. It is time for change.",2
"(5,)",Amazing rally in Florida - this is a MOVEMENT! Join us today at https://t.co/3KWOl2ibaW. https://t.co/BF1IqPXNho,5
"(7,)","Together, we will MAKE AMERICA SAFE AND GREAT AGAIN! #ImWithYou #AmericaFirst https://t.co/XhwUGw0v2H",7
"(13,)","I will be interviewed on the @oreillyfactor - tonight from Florida, now. Enjoy!",13
"(0,)",Philly FOP Chief On Presidential Endorsement: Clinton ‘Blew The Police Off' https://t.co/ATBY343pS1,0
"(2,)","Hillary Clinton's weakness while she was Secretary of State, has emboldened terrorists all over the world..cont: https://t.co/E5BdTiwlur",2
"(6,)",Once again someone we were told is ok turns out to be a terrorist who wants to destroy our country &amp; its people- how did he get thru system?,6
"(0,)","Great job once again by law enforcement! We are proud of them and should embrace them - without them, we don't have a country!",0
"(3,)","""@TarukMatuk: @CNN @FoxNews @realDonaldTrump @RogerRice10 Refugees from Syria over 10k plus more coming. Lots young males, poorly vetted.",3
"(3,)","""@AngPiazza: @foxandfriends  @realDonaldTrump he's the ONLY candidate that will keep us safe!""",3
"(13,)",Will be on @foxandfriends at 7:02 A.M.  Enjoy.,13
"(0,)","Terrible attacks in NY, NJ and MN this weekend. Thinking of victims, their families and all Americans! We need to be strong!",0
"(6,)","Under the leadership of Obama &amp; Clinton, Americans have experienced more attacks at home than victories abroad. Time to change the playbook!",6
"(0,)",HAPPY BIRTHDAY - to the United States Air Force!! https://t.co/5Gwi1M5R2t,0
"(12,)",RT @KellyannePolls: more media #polls showing @realDonaldTrump ahead in states Pres Obama won twice. https://t.co/EGySAz6Am1,12
"(0,)","I would like to express my warmest regards, best wishes and condolences to all of the families and victims of the horrible bombing in NYC.",0
"(0,)","Never met but never liked dopey Robert Gates. Look at the mess the U.S. is in. Always speaks badly of his many bosses, including Obama.",0
"(8,)","Heading to Colorado for a big rally. Massive crowd, great people! Will be there soon - the polls are looking good.",8
"(0,)","My lawyers want to sue the failing @nytimes so badly for irresponsible intent. I said no (for now), but they are watching. Really disgusting",0
"(2,)","The failing @nytimes has gone nuts that Crooked Hillary is doing so badly. They are willing to say anything, has become a laughingstock rag!",2
"(0,)","Crazy Maureen Dowd, the wacky columnist for the failing @nytimes, pretends she knows me well--wrong!",0
"(0,)","Wacky @NYTimesDowd, who hardly knows me, makes up things that I never said for her boring interviews and column. A neurotic dope!",0
"(9,)",".@CNN just doesn't get it, and that's why their ratings are so low - and getting worse. Boring anti-Trump panelists, mostly losers in life!",9
"(0,)",I never met former Defense Secretary Robert Gates. He knows nothing about me. But look at the results under his guidance - a total disaster!,0
"(2,)",Crooked Hillary wants to take your 2nd Amendment rights away. Will guns be taken from her heavily armed Secret Service detail? Maybe not!,2
"(6,)",My thoughts and prayers go out to the @PhillyPolice &amp; @Penn police officers- in Philadelphia. https://t.co/eyC3W1mweY,6
"(4,)","""Donald Trump’s birther event is the greatest trick he’s ever pulled""
https://t.co/zvVQnxeiQ9",4
"(5,)",A very interesting take from @KatiePavlich: https://t.co/XaM9yEYCHL,5
"(0,)",Just arrived in Texas - have been informed two @fortworthpd officers have been shot. My thoughts and prayers are with them.,0
"(0,)","Just leaving Miami for Houston, Oklahoma and Colorado. Miami crowd was fantastic!",0
"(1,)",Great parade in The Villages- I love you all. We will #MAGA. Thank you for the incredible support-I will not forget! https://t.co/5qTDijU3hn,1
"(5,)",I am truly honored and grateful for receiving SO much support from our American heroes...https://t.co/S9bvbysiOr https://t.co/JJQncd3zhf,5
"(4,)","I am now going to the brand new Trump International, Hotel D.C. for a major statement.",4
"(1,)","Thank you for a great evening - Laconia, New Hampshire -- will be back soon! #AmericaFirst
https://t.co/3KWOl2ibaW https://t.co/QWbYm2lY7B",1
"(0,)","""@AK_TWEET: #TheDonald's hair gets the #JimmyFallon treatment on #TheTonightShow #TrumpPence16 https://t.co/0RRPbfIgXH""  So true!",0
"(3,)","""@jimmyfallon: Tonight: @realDonaldTrump, @normmacdonald, a performance by Kiiara,and your funniest #MyTeacherIsWeird tweets. #FallonTonight",3
"(6,)","Instead of driving jobs and wealth away, AMERICA will become the WORLD'S great magnet for innovation &amp; job creation! https://t.co/cvu20ZQSVJ",6
"(13,)",Will be joining @jimmyfallon on @FallonTonight at 11:35pmE tonight. Enjoy!,13
"(12,)",RT @EricTrump: What a scary statistic! Americans are working harder and making less! We need competent leadership! https://t.co/jcGCbVOf6v,12
"(13,)",I will be interviewed by @jessebwatters on @oreillyfactor tonight at 8pm. Enjoy!,13
"(0,)",Full transcript of economic plan- delivered to the Economic Club of New York. #MAGA https://t.co/xiu9AUiSSD https://t.co/Fsy1diPWjU,0
"(1,)",Thank you @JerryJrFalwell! https://t.co/jzUQxkW4tB,1
"(1,)","Thank you to all of our law enforcement officers - across America! #LESM #MAGA 
https://t.co/Mcbc2JzhN2 https://t.co/4MTmR8kXVb",1
"(1,)",Thank you for having me! I enjoyed the tour and spending time with everyone. See you soon. #MAGA https://t.co/eNtS7IBPDo,1
"(13,)",Will be on @foxandfriends at 7:00 A.M. Enjoy!,13
"(3,)","""@ghfanlovessonny: @realDonaldTrump you have my vote in Pennsylvania. Trump 2016"" Thank you!",3
"(0,)",I was never a fan of Colin Powell after his weak understanding of weapons of mass destruction in Iraq = disaster. We can do much better!,0
"(13,)",I will be interviewed on @foxandfriends tomorrow at 7am. Enjoy!,13
"(1,)","Great poll out of Nevada- thank you! See you soon. #MAGA #AmericaFirst
https://t.co/3KWOl2ibaW https://t.co/27sR3MjjXc",1
"(7,)","Great evening in Canton, Ohio-thank you! We are going to MAKE AMERICA GREAT AGAIN! Join us: 
https://t.co/3KWOl2ibaW https://t.co/4MvwUj9eX9",7
"(13,)",Honor to have been interviewed by the very wonderful @bishopwtjackson in Detroit last week - tune in at 9pmE. Enjoy! https://t.co/9ahPnfhQ5N,13
"(5,)",Thank you Ohio! Just landed in Canton for a rally at the Civic Center. Join me at 7pm: https://t.co/s0XVVNyBKf https://t.co/UtCRxykurW,5
"(5,)","Thank you Florida- can't wait to see you Friday in Miami! Join me:
https://t.co/rsx313493u https://t.co/JxsWXz05T9",5
"(1,)","Thank you @ATFD17! #ImWithYou
Video: https://t.co/z9Yg83VTF4",1
"(1,)","Great poll Florida - thank you! 
#ImWithYou #AmericaFirst https://t.co/6Odle7j1hd",1
"(1,)",Thank you Ohio - see you tonight! https://t.co/0DyHkzzWvj,1
"(9,)",Russia took Crimea during the so-called Obama years. Who wouldn't know this and why does Obama get a free pass?,9
"(2,)",Why isn't President Obama working instead of campaigning for Hillary Clinton?,2
"(1,)","Thank you Rep. @CynthiaLummis!
https://t.co/4S4pnx4Q6r https://t.co/PLUKlsPXPR",1
"(1,)","Thank you Rep. @MarshaBlackburn!
https://t.co/vxEk0X4ntS https://t.co/9gAk0FWqZ8",1
"(1,)","Thank you @RepReneeEllmers!
https://t.co/1DrZpfa6je https://t.co/rzEw8pQhds",1
"(12,)",RT @LouDobbs: Trump outlines new child-care policy proposals via the @FoxNews App @realDonaldTrump seems a candidate of destiny https://t.c…,12
"(7,)","CHILD CARE REFORMS THAT WILL MAKE AMERICA GREAT AGAIN!
Transcript: https://t.co/rntyxBSb9J
https://t.co/5SWmxfVfto https://t.co/j389Quo4bg",7
"(12,)","RT @IvankaTrump: Ivanka penned an Op-Ed that ran in the @WSJ this afternoon, read it here. https://t.co/3QE4nRXzLZ @realDonaldTrump https:/…",12
"(5,)",#ImWithYou #AmericaFirst https://t.co/Ne4pI7FyU7,5
"(12,)",RT @IvankaTrump: Ivanka is joining @realDonaldTrump to outline an innovative new child care policy to support American families. Tune in to…,12
"(1,)","Thank you Clive, Iowa!
https://t.co/tuZ35BkD9J",1
"(5,)","Join us today! Together, we will 
#MakeAmericaGreatAgain!
https://t.co/v40n8RXgti https://t.co/e3KQfBR2K8",5
"(5,)","Heading to Iowa- join me today at noon! #MakeAmericaGreatAgain
Tickets: https://t.co/TEY6BbCyxt https://t.co/QyR2MDYYbZ",5
"(5,)","Join me in Clive, Iowa tomorrow at noon! #AmericaFirst #MAGA
Tickets: https://t.co/TEY6BbCyxt https://t.co/l17uzRPyLs",5
"(0,)","""@brimyers813: Saw ur speech on Twitter. U give me hope and optimism. I feel as though I am in the room with u. I pray 4 ur/our success.""",0
"(0,)","Just got back from Asheville,  North Carolina, where we had a massive rally. The spirit of the crowd was unbelievable. Thank you!  #MAGA",0
"(6,)",Stopped by @TrumpDC to thank all of the tremendous men &amp; women for their hard work! https://t.co/oGcJL4N454,6
"(13,)",Will be on @CNBC at @7:22. Enjoy!,13
"(13,)",I will be interviewed on @foxandfriends at 7:00 A.M.,13
"(5,)","#NeverForget
https://t.co/G5TMAUzy0z",5
"(0,)","The seriously failing @nytimes, despite so much winning and poll numbers that will soon put me in first place, only writes dishonest hits!",0
"(2,)",Hillary Clinton just had her 47% moment. What a terrible thing she said about so many great Americans!,2
"(12,)","RT @BarackObama: RT if you agree: We need a President who is fighting for all Americans, not one who writes off nearly half the country.",12
"(0,)","While Hillary said horrible things about my supporters, and while many of her supporters will never vote for me, I still respect them all!",0
"(0,)","Really sad that Republicans would allow themselves to be used in a Clinton ad. Lindsey Graham, Romney, Flake, Sass. SUPREME COURT, REMEMBER!",0
"(2,)","Wow, Hillary Clinton was SO INSULTING to my supporters, millions of amazing, hard working people. I think it will cost her at the Polls!",2
"(0,)","Will be in Missouri today with Melania for the funeral of a wonderful and truly respected woman, Phyllis S!",0
"(3,)","""@Stvzbnk: Just Watched @tonyschwartz. Obviously Tony is a Total Whack Job @realDonaldTrump""",3
"(0,)","Just returned from Pensacola, Florida, where the crowd was incredible.",0
"(9,)","I havn't seen @tonyschwartz in many years, he hardly knows me. Never liked his style. Super lib, Crooked H supporter. Irrelevant dope!",9
"(0,)","Dummy writer @tonyschwartz, who wanted to do a second book with me for years (I said no), is now a hostile basket case who feels jilted!",0
"(7,)","Thank you Florida - we are going to MAKE AMERICA GREAT AGAIN! Join us: https://t.co/3KWOl2ibaW. 
#AmericaFirst https://t.co/vzKtRxzvwv",7
"(0,)","Will be delivering a major speech tonight - live on @oreillyfactor at 8:10pm from Pensacola, Florida.",0
"(7,)","Thank you Ohio. Together, we will MAKE AMERICA GREAT AGAIN!
https://t.co/3KWOl20zMm https://t.co/n026nE4XIp",7
"(6,)",Great honor to be endorsed by popular &amp; successful @gov_gilmore of VA. A state that I very much want to win-THX Jim! https://t.co/x4Y1TAFHvn,6
"(7,)","MAKE AMERICA GREAT AGAIN!
#AmericaFirst #ImWithYou https://t.co/JIlNW7myEN",7
"(0,)","Henry McMaster, Lt. Governor of South Carolina who endorsed me, beat failed @CNN announcer Bakari Sellers, so badly. Funny!",0
"(12,)",RT @EricTrump: Join @TeamTrump on Saturday for National Day of Action as we work to #MakeAmericaGreatAgain! https://t.co/hyclkzPoBR https:/…,12
"(0,)",Jeff Zucker failed @NBC and he is now failing @CNN.,0
"(0,)",".@CNN is unwatchable. Their news on me is fiction. They
are a disgrace to the broadcasting industry and an arm of the Clinton campaign.",0
"(8,)",The documentary of me that @CNN just aired is a total waste of time. I don't even know many of the people who spoke about me. A joke!,8
"(1,)",Final poll results from NBC on last nights Commander-in-Chief Forum. Thank you! #ImWithYou #MAGA https://t.co/C5ipaxUN7B,1
"(6,)",It wasn't Matt Lauer that hurt Hillary last night. It was her very dumb answer about emails &amp; the veteran who said she should be in jail.,6
"(0,)","More poll results from last nights Commander-in-Chief Forum. 
#AmericaFirst #TrumpTrain https://t.co/FxyBL6fO1h",0
"(0,)",Last nights results - in poll taken by NBC. #AmericaFirst #ImWithYou https://t.co/sCOnny1fl3,0
"(0,)","With Luis, Mexico and the United States would have made wonderful deals together - where both Mexico and the US would have benefitted.",0
"(0,)",Mexico has lost a brilliant finance minister and wonderful man who I know is highly respected by President Peña Nieto.,0
"(2,)",Hillary Clinton answered email questions differently last night than she has in the past. She is totally confused. Unfit to serve as #POTUS.,2
"(0,)",Hillary just gave a disastrous news conference on the tarmac to make up for poor performance last night. She's being decimated by the media!,0
"(6,)",RT @DanScavino: Last nights winner was clear &amp; it will be proven time &amp; time again - lets #MAGA!! Lets WIN!! #TrumpTrain https://t.co/sGqp9…,6
"(2,)","""A rough night for Hillary Clinton""  ABC News.",2
"(1,)","Wow, reviews are in - THANK YOU!",1
"(0,)",COMING UP @GenFlynn @newtgingrich on @foxandfriends,0
"(1,)",Thank you to @foxandfriends for the nice reviews of last night.,1
"(1,)",Thank you America - great #CommanderInChiefForum polls! https://t.co/Rcu6KaRGCB,1
"(1,)",Thank you to our fantastic veterans. The reviews and polls from almost everyone of my Commander-in-Chief presentation were great. Nice!,1
"(8,)","Thank you Peter - if elected, I will think big for our country &amp; never let the American people down! #AmericaFirst https://t.co/6Nwu7EMJ9d",8
"(5,)","Wow - thank you Pensacola, FL. See you Friday at 7pm -- join me!
https://t.co/JCO7Za78tV https://t.co/LYmpRyY0Hq",5
"(5,)",#AmericaFirst! https://t.co/fQGxwAjXD7,5
"(4,)","'Donald Trump leads Hillary Clinton by 19 points among military, veteran voters: poll' #AmericaFirst #MAGA
https://t.co/5FmxGtLkwt",4
"(3,)","""@adhd_fa:Kudos to @PARISDENNARD for standing up to CNN's attempt to bully you and shout you down for defending @realDonaldTrump #media bias",3
"(13,)",I will be interviewed on @oreillyfactor tonight at 11pmE @FoxNews. Enjoy!,13
"(1,)","Thank you North Carolina- get out &amp; #VoteTrump on 11/8/2016!
#MakeAmericaGreatAgain https://t.co/HX2LRYs4Vq",1
"(6,)","Great meeting with military spouses in Virginia- joined by @IvankaTrump, @LaraLeaTrump, @GenFlynn &amp; @MayorRGiuliani. https://t.co/00GNH9nLet",6
"(1,)","Thank you to all of our amazing military families, service members, and veterans. #ImWithYou https://t.co/RmQJt0Wxcq",1
"(5,)","Join me in Pensacola, Florida this Friday at 7pm! #VoteTrump 
https://t.co/L8Ui56dcrJ https://t.co/0ciDCuoFeO",5
"(1,)",Thank you! #VoteTrump #ImWithYou https://t.co/SCEq9LqTTj,1
"(0,)","Mainstream media never covered Hillary’s massive “hacking”
or coughing attack, yet it is #1 trending. What’s up?",0
"(0,)","""@Ler: Message for undecided voters: Please wake up and vote DonaldTrump now! Trump/Pence very important save our America before too late!""",0
"(1,)",Thank you! #AmericaFirst https://t.co/6v4C8ykDVl,1
"(4,)","As a tribute to the late, great Phyllis Schlafly, I hope everybody can go out and get her latest book, THE CONSERVATIVE CASE FOR TRUMP.",4
"(9,)","China wouldn't provide a red carpet stairway from Air Force One and then Philippines President calls Obama ""the son of a whore."" Terrible!",9
"(0,)","The truly great Phyllis Schlafly, who honored me with her strong endorsement for president, has passed away at 92. She was very special!",0
"(1,)",Thank you Ohio! #AmericaFirst https://t.co/p68GAJdhwu,1
"(0,)","Heading to Youngstown, Ohio now- some great polls. #AmericaFirst https://t.co/cGwDLSOFUt",0
"(6,)",Thank you American Legion Post 610- for hosting @Mike_Pence &amp; I for a roundtable with labor leaders. #LaborDay #MAGA https://t.co/r0cwJlV38L,6
"(5,)","#LaborDay #AmericaFirst
Video: https://t.co/RNl7cfzkmN https://t.co/ZqRtbV4KRI",5
"(0,)",Can you believe that the Chinese would not give Obama the proper stairway to get off his plane - fight on tarmac! https://t.co/FAldS5zZi5,0
"(0,)",President Obama &amp; Putin fail to reach deal on Syria - so what else is new? Obama is not a natural deal maker. Only makes bad deals!,0
"(3,)","""@OSPREY675: @Miami4Trump I followed you because you are a patriot &amp; support @realDonaldTrump, as do I. #MAGA by sticking together.",3
"(3,)","""@tweak626: I'm at a biker rally in Perry, Kansas...and everyone is a @realDonaldTrump fan. Love it.""",3
"(3,)","""@ronnieclemmons: @ChrisCJackson @TakouiS @realDonaldTrump  Trump now leads her by 2 - get real, she will lose big""",3
"(3,)","""@lblackvelvet: @realDonaldTrump We need to show Americans that Hillary will KILL our Country !! Vote for Trump !!""",3
"(3,)","""@CherNuna: @realDonaldTrump It defies belief the Web of Lies Hillary is spinning! One excuse after another. Then it's this, then it's that.",3
"(2,)","Lyin' Hillary Clinton told the FBI that she did not know the ""C"" markings on documents stood for CLASSIFIED. How can this be happening?",2
"(0,)","To the African-American community: The Democrats have failed you for fifty years, high crime, poor schools, no jobs. I will fix it, VOTE ""T""",0
"(2,)",The polls are close so Crooked Hillary is getting out of bed and will campaign tomorrow.Why did she hammer 13 devices and acid-wash e-mails?,2
"(8,)","The Great State of Arizona, where I just had a massive rally (amazing people), has a very weak and ineffective Senator, Jeff Flake. Sad!",8
"(8,)","The Republican Party needs strong and committed leaders, not weak people such as @JeffFlake, if it is going to stop illegal immigration.",8
"(12,)",RT @DanScavino: Doesn't fit the MSM narrative - so they wont share what @realDonaldTrump did for Jesse Jackson in 1999 - so I will! https:/…,12
"(3,)","""@AnneBellar: @realDonaldTrump @CNN CNN is so biased. Never ever watch them. Trump 2016!!""",3
"(2,)",Crooked Hillary's V.P. pick said this morning that I was not aware that Russia took over Crimea. A total lie - and taken over during O term!,2
"(0,)","Wow, the failing @nytimes has not reported properly on Crooked's FBI release. They are at the back of the pack - no longer a credible source",0
"(2,)",".@CNN is so disgusting in their bias, but they are having a hard time promoting Crooked Hillary in light of the new e-mail scandals.",2
"(0,)","Great visit to Detroit church, fantastic reception, and all @CNN talks about is a small protest outside. Inside a large and wonderful crowd!",0
"(5,)","I am returning to the Pensacola Bay Center in Florida- Friday, 9/9/16 at 7pm. Join me! https://t.co/L8Ui56dcrJ https://t.co/wAePlfS0JL",5
"(1,)","Thank you Great Faith Ministries International, Bishop Wayne T. Jackson, and Detroit!
https://t.co/4Ucx678ZCC",1
"(5,)",#ImWithYou https://t.co/I8dHzezmY4,5
"(5,)",#AmericaFirst #ImWithYou https://t.co/Gtl7DyQkzt,5
"(1,)","Great new poll Iowa - thank you!
#MakeAmericaGreatAgain #ImWithYou https://t.co/7hupah1RQN",1
"(4,)","I visited our Trump Tower campaign headquarters last night, after returning from Ohio and Arizona, and it was packed with great pros - WIN!",4
"(8,)",People will be very surprised by our ground game on Nov. 8. We have an army of volunteers and people with GREAT SPIRIT! They want to #MAGA!,8
"(0,)",Just heard that crazy and very dumb @morningmika had a mental breakdown while talking about me on the low ratings @Morning_Joe. Joe a mess!,0
"(13,)",I will be interviewed by @ericbolling tonight at 8pm on the @oreillyfactor. Enjoy!,13
"(1,)",I am promising you a new legacy for America. We're going to create a new American future. Thank you OHIO! #ImWithYou https://t.co/TUgccsxvoy,1
"(13,)",Thank you for having me this morning @AmericanLegion. I enjoyed my time with everyone! #ALConvention2016 https://t.co/19TZEi6EbB,13
"(0,)",Poll numbers way up - making big progress!,0
"(1,)",Thank you to @foxandfriends for the great review of the speech on immigration last night. Thank you also to the great people of Arizona!,1
"(0,)",Mexico will pay for the wall!,0
"(4,)","Under a Trump administration, it's called #AmericaFirst! #ImWithYou
https://t.co/QfHfCQg0Wa",4
"(7,)","Hillary Clinton doesn't have the strength or the stamina to MAKE AMERICA GREAT AGAIN! #AmericaFirst
https://t.co/G1MuLrjhW9",7
"(5,)","There will be no amnesty!
#MakeAmericaGreatAgain #ImWithYou
https://t.co/vVhzSdCblA",5
"(0,)","Mexico will pay for the wall - 100%!
#MakeAmericaGreatAgain #ImWithYou
https://t.co/pSFuPZz0xP",0
"(12,)",RT @LouDobbs: We are Watching A Leader Who for the First Time in Three Presidencies Will Put America and Americans First! @realDonaldTrump…,12
"(12,)","RT @AnnCoulter: I hear Churchill had a nice turn of phrase, but Trump's immigration speech is the most magnificent speech ever given.",12
"(0,)","Just arrived in Arizona! #ImWithYou
https://t.co/MT3wW61YS5",0
"(8,)",Great trip to Mexico today  - wonderful leadership and high quality people! Look forward to our next meeting.,8
"(9,)","Hillary Clinton didn't go to Louisiana, and now she didn't go to Mexico. She doesn't have the drive or stamina to MAKE AMERICA GREAT AGAIN!",9
"(0,)","Former President Vicente Fox, who is railing against my visit to Mexico today, also invited me when he apologized for using the ""f bomb.""",0
"(7,)","Thank you Washington! Together, WE will MAKE AMERICA SAFE AND GREAT AGAIN! #ImWithYou #AmericaFirst https://t.co/CWDQnISYH4",7
"(0,)","I have accepted the invitation of President Enrique Pena Nieto, of Mexico, and look very much forward to meeting him tomorrow.",0
"(12,)","RT @RSBNetwork: We are ALREADY LIVE in Everett, WA for the Trump Rally. Come join us- our cameras tonight! #TrumpinEverett 

https://t.co/R…",12
"(12,)","RT @DRUDGE_REPORT: REUTERS POLL:  CLINTON, TRUMP ALL TIED UP... https://t.co/htCXcTA5T7",12
"(1,)",Thank you North Carolina! #MAGA https://t.co/1oWrFnHe0u,1
"(1,)","Thank you America! #MAGA
https://t.co/FljBVvbwKr https://t.co/ePJW9jLckM",1
"(3,)","""@meequalsfree: Looking forward to seeing you again! Everett to be a packed house! @realDonaldTrump  @mike_pence""",3
"(0,)","From day one I said that I was going to build a great wall on the SOUTHERN BORDER, and much more. Stop illegal immigration. Watch Wednesday!",0
"(5,)","Join me this Thursday in Wilmington, Ohio at noon! #ImWithYou
Tickets: https://t.co/66bfVtIwf1 https://t.co/fDAJl5wVGe",5
"(5,)","Join me this Wednesday in Phoenix, Arizona at 6pm! #ImWithYou
Tickets: https://t.co/1jATILh2k7 https://t.co/VwKnxo1TNQ",5
"(5,)",#MakeAmericaGreatAgain #ImWithYou https://t.co/IoYMdjvWHf,5
"(0,)",We will repeal and replace the horrible disaster known as #Obamacare! https://t.co/YzRTPrqrNC,0
"(5,)",#CrookedHillary https://t.co/vXhcC8PaPy,5
"(4,)","Now that African-Americans are seeing what a bad job Hillary type policy and management has done to the inner-cities, they want TRUMP!",4
"(2,)","Crooked Hillary's brainpower is highly overrated.Probably why her decision making is so bad or, as stated by Bernie S, she has BAD JUDGEMENT",2
"(2,)","Does anyone know that Crooked Hillary, who tried so hard, was unable to pass the Bar Exams in Washington D.C. She was forced to go elsewhere",2
"(2,)","""@PMNOrlando: @realDonaldTrump I know of NO ONE voting for Crooked Hillary! Her rallies are held in (blank)  &amp; she still has room.",2
